INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Location,_id,CATEGORY
202016337,2662,BALLISTICS EVIDENCE/FOUND,B2, ,1,2020-02-29 03:43:00,2020,2,Saturday,3,"RUTHVEN ST & HAROLD ST
ROXBURY  MA 02121
UNITED ST",42.3136639956734,-71.0920290071491,"(42.3136639956734, -71.0920290071491)",,weapons_crimes
202017360,3119,FIREARM/WEAPON - FOUND OR CONFISCATED,B2, ,0,2020-03-03 18:23:00,2020,3,Tuesday,18,COPELAND ST,42.321948403557,-71.0813842712508,"(42.321948403557, -71.0813842712508)",,weapons_crimes
202017533,2662,BALLISTICS EVIDENCE/FOUND,B3,437,0,2020-03-04 11:33:00,2020,3,Wednesday,11,DEERING RD,42.2904153812114,-71.072695415813,"(42.2904153812114, -71.072695415813)",,weapons_crimes
202017563,3119,FIREARM/WEAPON - FOUND OR CONFISCATED,B3,428,0,2020-03-04 13:46:00,2020,3,Wednesday,13,WILDWOOD ST,42.2823681802827,-71.0897286933555,"(42.2823681802827, -71.0897286933555)",,weapons_crimes
202018209,3119,FIREARM/WEAPON - FOUND OR CONFISCATED,B3,470,0,2020-03-06 15:55:00,2020,3,Friday,15,WABASH ST,42.2798269561363,-71.099225390755,"(42.2798269561363, -71.099225390755)",,weapons_crimes
202018367,2662,BALLISTICS EVIDENCE/FOUND,B3,453,1,2020-03-07 04:08:00,2020,3,Saturday,4,ALGONQUIN ST,42.2974241140628,-71.0753135753807,"(42.2974241140628, -71.0753135753807)",,weapons_crimes
202018377,3119,FIREARM/WEAPON - FOUND OR CONFISCATED,E13,606,0,2020-03-07 05:52:00,2020,3,Saturday,5,S HUNTINGTON AVE,42.3295524545692,-71.1111242876834,"(42.3295524545692, -71.1111242876834)",,weapons_crimes
202018651,2662,BALLISTICS EVIDENCE/FOUND,B2,296,1,2020-03-08 07:27:00,2020,3,Sunday,7,WARREN ST,42.3222164525887,-71.0820672272945,"(42.3222164525887, -71.0820672272945)",,weapons_crimes
202019226,3119,FIREARM/WEAPON - FOUND OR CONFISCATED,A7,28,0,2020-03-10 11:07:00,2020,3,Tuesday,11,PARIS ST,42.3708180467024,-71.0392907813515,"(42.3708180467024, -71.0392907813515)",,weapons_crimes
202020260,2662,BALLISTICS EVIDENCE/FOUND,B3,427,1,2020-03-13 22:06:00,2020,3,Friday,22,BABSON ST,42.2749166279877,-71.0922044414973,"(42.2749166279877, -71.0922044414973)",,weapons_crimes
202020288,2662,BALLISTICS EVIDENCE/FOUND,B3, ,1,2020-03-14 01:50:00,2020,3,Saturday,1,MOUNTAIN AVE,42.2865018549257,-71.0856653789179,"(42.2865018549257, -71.0856653789179)",,weapons_crimes
202021403,3119,FIREARM/WEAPON - FOUND OR CONFISCATED,E5,551,0,2020-03-18 19:11:00,2020,3,Wednesday,19,GLENDOWER RD,42.2756251888829,-71.1314220432153,"(42.2756251888829, -71.1314220432153)",,weapons_crimes
202021465,3119,FIREARM/WEAPON - FOUND OR CONFISCATED,E13,912,0,2020-03-19 08:00:00,2020,3,Thursday,8,PARKER ST,42.3246944257683,-71.100879016654,"(42.3246944257683, -71.100879016654)",,weapons_crimes
202021530,3119,FIREARM/WEAPON - FOUND OR CONFISCATED,B2,282,0,2020-03-19 14:15:00,2020,3,Thursday,14,WASHINGTON ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)",,weapons_crimes
202022851,2662,BALLISTICS EVIDENCE/FOUND,C6,177,0,2020-03-25 09:00:00,2020,3,Wednesday,9,SOUTHAMPTON ST,42.3318187982945,-71.0686823703565,"(42.3318187982945, -71.0686823703565)",,weapons_crimes
202022968,2662,BALLISTICS EVIDENCE/FOUND,E5,563,1,2020-03-25 18:01:00,2020,3,Wednesday,18,FLORENCE ST,42.2875684675283,-71.1228155106101,"(42.2875684675283, -71.1228155106101)",,weapons_crimes
202023206,2662,BALLISTICS EVIDENCE/FOUND,B2,319,1,2020-03-27 00:23:00,2020,3,Friday,0,ELM HILL AVE,42.3097326879564,-71.0873485191033,"(42.3097326879564, -71.0873485191033)",,weapons_crimes
202023616,2662,BALLISTICS EVIDENCE/FOUND,B2, ,1,2020-03-29 01:03:00,2020,3,Sunday,1,MAGNOLIA ST,42.3145569580846,-71.0717259911502,"(42.3145569580846, -71.0717259911502)",,weapons_crimes
